season_id,season,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xwobacon,barrels_bbe,barrels_pa,xba,hits,abs,launch_speed,launch_angle
2021405395,2021,405395,"Pujols, Albert",1123,100,0.236,0.196,0.223,0.433,0.302,0.322,0.359,0.09,0.07,0.256,65,275,90.3,11.9
2021408234,2021,408234,"Cabrera, Miguel",2035,100,0.256,0.129,0.305,0.386,0.305,0.315,0.372,0.08,0.06,0.234,121,472,91.4,10
2021425877,2021,425877,"Molina, Yadier",1669,100,0.252,0.118,0.283,0.37,0.29,0.306,0.343,0.05,0.04,0.255,111,440,88,15.3
2021435559,2021,435559,"Suzuki, Kurt",912,100,0.224,0.119,0.25,0.342,0.282,0.264,0.272,0.04,0.03,0.204,49,219,84.7,14.1
2021443558,2021,443558,"Cruz, Nelson",2198,100,0.265,0.232,0.286,0.497,0.346,0.363,0.439,0.14,0.09,0.264,136,513,92.9,11.8
2021444482,2021,444482,"Peralta, David",2062,100,0.259,0.144,0.303,0.402,0.314,0.293,0.315,0.05,0.04,0.243,126,487,89.3,5.3
2021444489,2021,444489,"Piña, Manny",801,100,0.189,0.25,0.162,0.439,0.315,0.331,0.349,0.10,0.07,0.219,34,180,86.5,18.7
2021444876,2021,444876,"Escobar, Alcides",1383,100,0.288,0.116,0.337,0.404,0.325,0.309,0.335,0.03,0.02,0.271,92,319,80.4,9.6
2021446334,2021,446334,"Longoria, Evan",1155,100,0.261,0.221,0.305,0.482,0.352,0.351,0.42,0.13,0.09,0.253,66,253,94.1,15.5
2021452678,2021,452678,"Cabrera, Asdrúbal",1366,100,0.23,0.136,0.283,0.366,0.297,0.286,0.318,0.06,0.04,0.214,71,309,87.4,14.1
2021453568,2021,453568,"Blackmon, Charlie",2144,100,0.27,0.14,0.305,0.411,0.333,0.359,0.385,0.07,0.05,0.291,139,514,87.6,10.2
2021455117,2021,455117,"Maldonado, Martín",1789,100,0.172,0.129,0.221,0.3,0.258,0.267,0.316,0.06,0.03,0.183,64,373,87.3,17.5
2021456715,2021,456715,"Cain, Lorenzo",1134,100,0.257,0.144,0.287,0.401,0.319,0.317,0.34,0.04,0.03,0.254,66,257,88.4,7.2
2021456781,2021,456781,"Solano, Donovan",1317,100,0.28,0.124,0.321,0.404,0.324,0.335,0.369,0.07,0.06,0.275,86,307,88.1,10.7
2021457705,2021,457705,"McCutchen, Andrew",2308,100,0.222,0.222,0.242,0.444,0.335,0.344,0.39,0.09,0.06,0.24,107,482,88.8,14.6
2021457708,2021,457708,"Upton, Justin",1520,100,0.211,0.198,0.254,0.409,0.305,0.324,0.418,0.12,0.07,0.227,67,318,90.1,15.5
2021457759,2021,457759,"Turner, Justin",2465,100,0.278,0.193,0.292,0.471,0.358,0.359,0.383,0.08,0.06,0.27,148,533,90.9,19.2
2021457763,2021,457763,"Posey, Buster",1757,100,0.304,0.195,0.349,0.499,0.379,0.361,0.406,0.08,0.06,0.281,120,395,88.5,8.7
2021458015,2021,458015,"Votto, Joey",2232,100,0.266,0.297,0.287,0.563,0.391,0.406,0.498,0.17,0.11,0.274,119,448,92.9,18.2
2021458731,2021,458731,"Gardner, Brett",2096,100,0.222,0.14,0.269,0.362,0.305,0.296,0.312,0.03,0.02,0.219,86,387,85.7,11.3
2021462101,2021,462101,"Andrus, Elvis",2053,100,0.243,0.076,0.283,0.32,0.27,0.308,0.335,0.02,0.02,0.273,121,497,86.8,7.8
2021467092,2021,467092,"Ramos, Wilson",555,100,0.205,0.192,0.213,0.397,0.275,0.308,0.374,0.11,0.08,0.236,31,151,89.6,6.7
2021467793,2021,467793,"Santana, Carlos",2706,100,0.214,0.127,0.227,0.342,0.294,0.335,0.342,0.07,0.05,0.244,121,565,89.9,12.9
2021474832,2021,474832,"Belt, Brandon",1578,100,0.274,0.323,0.309,0.597,0.406,0.374,0.472,0.17,0.10,0.243,89,325,87.6,22.3
2021475582,2021,475582,"Zimmerman, Ryan",1117,100,0.243,0.227,0.289,0.471,0.319,0.3,0.393,0.11,0.07,0.232,62,255,91.3,7.4
2021476704,2021,476704,"Lowrie, Jed",2033,100,0.245,0.153,0.289,0.398,0.311,0.343,0.399,0.09,0.06,0.259,112,457,90.7,16.4
2021488726,2021,488726,"Brantley, Michael",1868,100,0.311,0.126,0.337,0.437,0.347,0.361,0.378,0.06,0.05,0.312,146,469,89.4,9.8
2021488771,2021,488771,"Castro, Jason",772,100,0.235,0.208,0.31,0.443,0.347,0.376,0.501,0.14,0.08,0.257,35,149,89.3,12.9
2021493329,2021,493329,"Gurriel, Yuli",2292,100,0.319,0.143,0.336,0.462,0.363,0.326,0.325,0.03,0.03,0.271,169,530,89.8,13.4
2021500743,2021,500743,"Rojas, Miguel",2001,100,0.265,0.127,0.295,0.392,0.311,0.292,0.303,0.03,0.02,0.249,131,495,86,11.3
2021500871,2021,500871,"Escobar, Eduardo",2404,100,0.253,0.219,0.279,0.472,0.334,0.328,0.382,0.09,0.06,0.249,139,549,86.9,20.6
2021501303,2021,501303,"Adrianza, Ehire",835,100,0.247,0.154,0.29,0.401,0.316,0.314,0.346,0.03,0.02,0.249,45,182,84.6,12.7
2021501571,2021,501571,"Lagares, Juan",1237,100,0.236,0.136,0.294,0.372,0.274,0.282,0.351,0.07,0.05,0.244,73,309,87.8,8.8
2021501659,2021,501659,"Almonte, Abraham",763,100,0.216,0.182,0.255,0.399,0.321,0.317,0.339,0.07,0.05,0.228,32,148,89.3,10.5
2021502054,2021,502054,"Pham, Tommy",2374,100,0.229,0.154,0.28,0.383,0.318,0.354,0.406,0.10,0.06,0.258,109,475,90.8,7.6
2021502110,2021,502110,"Martinez, J.D.",2410,100,0.286,0.232,0.34,0.518,0.364,0.374,0.467,0.12,0.08,0.288,163,570,92.1,16.9
2021502210,2021,502210,"Reddick, Josh",589,100,0.258,0.113,0.311,0.371,0.283,0.285,0.338,0.02,0.02,0.262,39,151,85.1,16.8
2021502671,2021,502671,"Goldschmidt, Paul",2751,100,0.294,0.221,0.331,0.514,0.373,0.397,0.468,0.14,0.09,0.293,177,603,92.6,17.1
2021503556,2021,503556,"Gonzalez, Marwin",1203,100,0.199,0.105,0.258,0.304,0.259,0.281,0.331,0.05,0.03,0.218,55,276,86.8,7.9
2021506702,2021,506702,"León, Sandy",920,100,0.183,0.084,0.244,0.267,0.225,0.216,0.265,0.02,0.01,0.17,37,202,86.1,19.4
2021514888,2021,514888,"Altuve, Jose",2489,100,0.278,0.211,0.28,0.489,0.357,0.332,0.344,0.06,0.05,0.262,167,601,86.6,15
2021514917,2021,514917,"Hernández, César",2457,100,0.232,0.154,0.266,0.386,0.302,0.311,0.353,0.07,0.05,0.243,132,570,86.4,9.7
2021516416,2021,516416,"Segura, Jean",2182,100,0.29,0.146,0.317,0.436,0.338,0.319,0.337,0.06,0.05,0.266,149,514,86.8,5.9
2021516770,2021,516770,"Castro, Starlin",1292,100,0.283,0.092,0.339,0.375,0.309,0.324,0.367,0.05,0.04,0.272,89,315,88.4,9.1
2021516782,2021,516782,"Marte, Starling",1970,100,0.31,0.148,0.372,0.458,0.364,0.347,0.389,0.08,0.06,0.277,145,467,86.7,4
2021518586,2021,518586,"Culberson, Charlie",996,100,0.243,0.138,0.307,0.381,0.292,0.269,0.321,0.03,0.02,0.229,60,247,84,9.5
2021518595,2021,518595,"d'Arnaud, Travis",872,100,0.22,0.167,0.26,0.388,0.291,0.312,0.371,0.08,0.05,0.248,46,209,89.9,5.9
2021518626,2021,518626,"Donaldson, Josh",2125,100,0.247,0.228,0.268,0.475,0.353,0.388,0.447,0.17,0.11,0.269,113,457,94.1,14.6
2021518692,2021,518692,"Freeman, Freddie",2688,100,0.3,0.203,0.321,0.503,0.379,0.416,0.463,0.12,0.08,0.32,180,600,91.4,12
2021518735,2021,518735,"Grandal, Yasmani",1669,100,0.24,0.28,0.246,0.52,0.402,0.412,0.455,0.13,0.07,0.258,67,279,92.6,13.4
2021518792,2021,518792,"Heyward, Jason",1314,100,0.214,0.133,0.247,0.347,0.275,0.294,0.327,0.05,0.03,0.234,69,323,88.2,7.6
2021518934,2021,518934,"LeMahieu, DJ",2660,100,0.268,0.094,0.301,0.362,0.315,0.34,0.35,0.04,0.03,0.283,160,597,90.6,5
2021519048,2021,519048,"Moreland, Mitch",986,100,0.227,0.188,0.256,0.415,0.3,0.297,0.35,0.09,0.06,0.226,52,229,91,12.9
2021519058,2021,519058,"Moustakas, Mike",792,100,0.208,0.164,0.239,0.372,0.284,0.276,0.307,0.06,0.04,0.202,38,183,86.9,18.5
2021519203,2021,519203,"Rizzo, Anthony",2230,100,0.248,0.192,0.258,0.44,0.339,0.347,0.357,0.08,0.06,0.261,123,496,89.9,14.8
2021519299,2021,519299,"Sogard, Eric",679,100,0.249,0.065,0.293,0.314,0.259,0.228,0.25,0.01,0.01,0.201,42,169,82.6,10.1
2021519317,2021,519317,"Stanton, Giancarlo",2426,100,0.273,0.243,0.324,0.516,0.37,0.363,0.463,0.16,0.10,0.262,139,510,95.1,10.3
2021519390,2021,519390,"Vogt, Stephen",1015,100,0.195,0.138,0.23,0.333,0.27,0.288,0.329,0.05,0.03,0.213,41,210,87.9,18.6
2021520471,2021,520471,"Galvis, Freddy",1545,100,0.242,0.166,0.269,0.407,0.305,0.28,0.311,0.05,0.04,0.222,86,356,85.9,13.3
